id,ans
1,5
2,3
3,3
4,4
5,0
6,5
7,2
8,3
9,3
10,0
11,3
12,2
13,0
14,5
15,2
16,0
17,2
18,0
19,1
20,1
21,0
22,3
23,2
24,4
25,4
26,5
27,5
28,5
29,3
30,2
31,5
32,2
33,1
34,1
35,0
36,1
37,1
38,2
39,2
40,1
41,4
42,5
43,4
44,5
45,4
46,3
47,5
48,3
49,1
50,3
51,2
52,4
53,5
54,1
55,4
56,1
57,4
58,5
59,1
60,0
61,0
62,3
63,2
64,2
65,1
66,4
67,2
68,2
69,0
70,0
71,5
72,5
73,0
74,2
75,1
76,4
77,2
78,0
79,5
80,1
81,1
82,4
83,1
84,5
85,3
86,0
87,0
88,0
89,4
90,4
91,0
92,1
93,0
94,5
95,3
96,0
97,1
98,4
99,5
100,5
101,1
102,1
103,0
104,2
105,0
106,0
107,1
108,2
109,0
110,0
111,5
112,4
113,0
114,3
115,0
116,0
117,3
118,4
119,0
120,1
121,1
122,2
123,3
124,4
125,5
126,1
127,2
128,3
129,3
130,5
131,1
132,2
133,3
134,4
135,0
136,3
137,2
138,2
139,1
140,0
141,2
142,4
143,0
144,5
145,4
146,2
147,4
148,5
149,0
150,4
151,0
152,0
153,3
154,5
155,0
156,1
157,0
158,5
159,3
160,1
161,0
162,3
163,0
164,2
165,2
166,2
167,1
168,1
169,0
170,0
171,0
172,4
173,0
174,4
175,2
176,0
177,0
178,2
179,4
180,3
181,5
182,2
183,3
184,2
185,5
186,1
187,0
188,5
189,3
190,1
191,3
192,5
193,0
194,3
195,1
196,0
197,2
198,4
199,0
200,5
201,5
202,3
203,3
204,3
205,5
206,5
207,3
208,5
209,4
210,3
211,0
212,2
213,5
214,2
215,3
216,0
217,4
218,2
219,3
220,4
221,2
222,1
223,2
224,2
225,4
226,5
227,1
228,5
229,2
230,0
231,2
232,0
233,0
234,4
235,3
236,5
237,3
238,5
239,0
240,5
241,5
242,0
243,5
244,2
245,1
246,1
247,2
248,2
249,0
250,0
251,1
252,2
253,3
254,1
255,0
256,0
257,1
258,1
259,4
260,1
261,2
262,2
263,1
264,3
265,1
266,0
267,4
268,4
269,3
270,4
271,4
272,1
273,2
274,1
275,4
276,1
277,1
278,1
279,5
280,2
281,0
282,1
283,1
284,3
285,2
286,5
287,3
288,1
289,4
290,3
291,5
292,1
293,0
294,2
295,3
296,2
297,5
298,4
299,1
300,0
301,0
302,2
303,1
304,0
305,3
306,2
307,0
308,1
309,2
310,1
311,4
312,1
313,2
314,5
315,5
316,4
317,0
318,2
319,0
320,0
321,4
322,1
323,2
324,3
325,2
326,2
327,2
328,5
329,0
330,1
331,3
332,0
333,0
334,3
335,0
336,3
337,3
338,3
339,1
340,2
341,3
342,4
343,5
344,0
345,2
346,2
347,4
